word,rock,jazz,alternative rock,eletronic,pop,total
raining,3,3,1,2,2,11
ramne,1,1,0,1,1,4
tlfm,1,1,0,1,1,4
yellow,5,1,4,5,4,19
narcotic,1,0,1,1,0,3
four,6,3,1,4,4,18
woods,1,1,0,1,2,5
spiders,1,1,0,0,0,2
mirage,0,0,0,1,0,1
marching,2,1,0,2,0,5
otra,2,0,0,1,2,5
dustland,1,0,1,0,1,3
arriesgarnos,0,0,0,0,1,1
lore,0,0,0,0,1,1
lord,9,10,2,6,11,38
swivel,1,1,0,1,1,4
callin,1,0,0,0,0,1
freeword,1,0,0,0,0,1
oceans,1,1,1,1,0,4
travellin,2,1,1,0,1,5
oceano,1,0,1,0,1,3
screaming,2,0,1,0,0,3
basics,1,0,1,1,1,4
decima,0,1,0,0,0,1
jihad,1,0,0,0,0,1
koronoko,1,1,1,1,1,5
oooh,0,1,0,0,0,1
pivo,1,0,0,1,0,2
merengue,0,0,0,0,1,1
caramelo,1,0,0,1,0,2
tired,3,1,0,1,0,5
garraud,0,1,0,1,1,3
hanging,1,0,0,0,1,2
second,6,5,4,3,6,24
glassi,1,1,1,1,1,5
shuile,0,0,0,1,1,2
tirez,1,1,1,1,1,5
soave,1,0,0,1,0,2
dynamit,0,0,0,1,1,2
thunder,2,1,0,0,2,5
boogie,4,6,0,1,1,12
fingers,3,2,2,3,3,13
roadhouse,1,1,0,0,1,3
essaywhuman,0,1,0,1,1,3
hero,3,0,1,0,2,6
schmerzensschreie,1,0,0,0,0,1
eunice,1,0,0,0,1,2
here,27,12,10,12,22,83
chinz,1,1,1,1,1,5
herz,3,1,0,3,4,11
china,1,2,0,1,2,6
megalodon,1,1,0,0,0,2
gayee,0,0,0,1,0,1
kids,3,1,1,1,4,10
merrygoround,2,2,2,0,1,7
nomades,1,1,0,1,1,4
natures,1,1,0,1,1,4
juras,1,0,0,0,1,2
rebel,2,2,0,0,2,6
golden,5,3,1,5,4,18
roadrunner,1,0,0,0,1,2
kenourgia,1,0,0,0,1,2
slivery,1,0,0,0,0,1
ressuscits,0,1,0,1,0,2
nessum,1,0,0,1,0,2
spoke,1,1,0,0,1,3
cannibal,1,0,0,0,1,2
symphony,1,1,1,1,2,6
music,25,17,15,21,19,97
mystic,1,1,1,1,1,5
strike,1,1,1,1,1,5
until,5,4,3,4,5,21
imparable,1,0,0,0,1,2
playboy,1,1,0,1,1,4
holy,2,1,0,1,2,6
relax,0,0,0,1,1,2
brings,1,0,1,0,0,2
gedroomd,1,1,1,0,1,4
pasta,1,0,0,1,1,3
machinenfunk,1,0,0,1,0,2
hurt,1,2,1,0,2,6
glass,1,1,0,0,0,2
holi,1,0,1,2,1,5
hole,6,4,3,4,5,22
hold,20,8,7,15,19,69
doppelgnger,1,0,1,1,0,3
hola,1,1,0,1,0,3
circumstances,1,0,0,0,0,1
evigne,1,1,0,1,1,4
locker,1,1,1,1,1,5
sweeter,1,1,1,0,1,4
matilda,1,2,0,1,3,7
wang,0,2,0,1,4,7
dyks,1,1,0,1,1,4
titanium,1,0,0,1,1,3
caution,1,1,0,1,1,4
want,21,10,12,20,23,86
salamanders,1,1,0,0,1,3
somebodys,3,0,0,0,1,4
absolute,2,0,1,1,1,5
cielo,1,0,1,1,0,3
travel,4,0,1,2,2,9
seuraavassa,1,0,1,1,1,4
damage,1,1,1,1,1,5
machine,7,0,3,5,6,21
louisville,1,0,0,0,1,2
machina,1,1,1,1,1,5
eimsbush,0,0,0,1,0,1
cadence,1,1,0,1,0,3
grazon,1,1,1,1,1,5
moritat,1,1,0,0,1,3
beauty,8,1,2,6,7,24
wilakuy,0,0,0,0,1,1
stravinsky,0,0,0,0,2,2
ryders,1,0,0,0,1,2
shores,1,0,0,0,1,2
wrong,7,3,2,2,6,20
destined,1,0,0,0,0,1
ouroboros,1,0,1,0,0,2
scourge,1,0,1,1,1,4
buzzs,0,0,1,0,0,1
baggage,1,1,1,1,1,5
keeps,1,1,1,1,2,6
wing,2,1,0,1,2,6
wind,7,9,3,7,8,34
wine,1,0,1,2,2,6
peux,1,1,1,1,1,5
boire,0,0,0,1,1,2
peut,0,0,0,1,0,1
dejes,0,1,0,0,0,1
virgen,0,1,0,1,0,2
dreamer,1,1,0,1,0,3
cumpagno,1,0,0,1,1,3
ruta,1,0,0,0,1,2
survivors,1,0,1,1,0,3
hidden,5,2,1,4,3,15
glorify,1,0,1,0,1,3
thrones,0,0,1,0,0,1
biding,1,0,1,0,1,3
jamalo,1,1,1,1,1,5
sixteen,1,1,1,1,0,4
silver,6,3,1,5,5,20
rumour,1,1,1,1,1,5
disconnection,1,0,0,0,1,2
eoghain,1,1,0,1,1,4
chinoiserie,0,1,0,1,0,2
spider,1,0,1,1,1,4
solution,1,0,0,0,1,2
contracting,1,1,1,1,1,5
cathedral,1,0,0,1,1,3
blinded,1,1,1,1,1,5
whip,2,0,1,3,1,7
romntico,0,1,0,0,0,1
toute,1,0,0,0,0,1
urbans,0,0,0,0,1,1
outburst,1,0,1,0,0,2
clarence,1,1,0,0,1,3
knig,1,0,0,1,1,3
sensory,1,0,1,1,1,4
efialtis,1,0,0,0,1,2
estimate,1,1,0,0,0,2
cornerstone,1,1,0,1,1,4
bateu,1,1,0,1,0,3
iceman,1,1,0,0,1,3
villes,1,0,0,0,1,2
gouldagnes,0,1,0,0,1,2
chitlins,1,0,0,0,0,1
holbrook,1,0,0,0,1,2
veggie,1,1,1,1,1,5
channels,0,0,0,1,1,2
wash,2,2,1,2,2,9
dpaves,1,1,0,0,0,2
sensazioni,0,1,0,0,0,1
windmills,1,2,0,2,1,6
lectro,1,1,0,0,1,3
reuben,1,1,0,0,1,3
tango,5,2,1,3,5,16
stack,0,0,0,0,1,1
reginella,1,0,0,0,0,1
master,5,4,2,4,2,17
pierrade,1,1,1,1,1,5
scandalon,0,0,0,0,1,1
legs,1,0,1,1,1,4
genesis,2,0,1,1,0,4
listen,1,1,0,1,1,4
summerfish,0,0,0,1,1,2
juventud,1,1,0,0,1,3
supertouchshitfit,1,0,0,0,0,1
crawl,1,1,1,1,1,5
amsterdamaged,1,0,1,0,0,2
icicle,1,0,1,1,1,4
mercato,0,0,0,0,1,1
coward,1,0,0,0,0,1
tree,5,2,1,2,6,16
yodelling,1,1,0,1,1,4
nations,0,0,0,1,0,1
project,1,1,1,1,1,5
ahmet,1,1,0,0,1,3
tres,1,1,0,1,0,3
feeling,4,4,2,3,3,16
heyya,0,0,0,2,2,4
este,0,0,0,1,1,2
esta,1,1,1,0,1,4
boston,3,2,1,0,2,8
sparnuotoji,1,0,0,0,0,1
juneau,1,0,0,0,0,1
onono,1,1,1,1,1,5
bawlz,1,0,1,1,1,4
novakane,2,0,0,0,0,2
soaked,1,0,1,0,0,2
dixime,1,1,0,1,1,4
himlen,0,1,0,0,0,1
matriarch,1,1,0,1,0,3
shall,0,1,0,0,0,1
doin,2,2,0,2,1,7
object,1,2,1,1,2,7
mouth,2,1,0,1,1,5
letter,3,4,0,2,3,12
dois,1,0,0,0,0,1
thriller,1,0,1,1,1,4
singer,1,1,1,1,1,5
episode,1,1,0,1,1,4
pome,1,1,1,1,1,5
matins,1,1,0,1,1,4
camp,0,1,0,1,1,3
cumbia,0,0,0,0,1,1
tech,0,0,1,0,0,1
bartholdis,0,1,0,1,0,2
mensaje,1,1,0,0,0,2
scream,1,1,1,2,1,6
came,8,4,3,5,6,26
marvel,1,1,1,1,1,5
silber,1,0,0,1,0,2
bomb,4,1,3,3,3,14
bonnie,2,1,1,2,2,8
ulcer,1,0,0,1,1,3
pris,1,1,0,0,1,3
rusticana,1,1,1,1,1,5
orleans,2,3,0,2,2,9
teasin,1,1,2,1,0,5
busy,0,0,0,1,0,1
doilea,1,0,0,1,0,2
louise,3,2,1,1,3,10
telegrama,1,1,1,1,1,5
cupid,1,0,1,0,0,2
bush,1,1,0,1,1,4
bliss,1,1,0,2,1,5
rich,1,0,0,0,1,2
rice,2,0,1,1,2,6
kablammin,1,1,1,1,1,5
plate,1,0,1,1,1,4
rmer,1,1,0,1,1,4
